Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICDC_QuickRun,Chrome 101.0.4951.67,,,2022-05-23 15:07:55,2022-05-23 15:10:24,2m - 28.445s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/Breed/TC01_Canine_Filter_Breed-Akita,Chrome 101.0.4951.67,,Filter,2022-05-23 15:07:57,2022-05-23 15:10:24,2m - 26.423s,PASSED
Start listener action : getTestScriptName,Chrome 101.0.4951.67,,,2022-05-23 15:07:57,2022-05-23 15:07:57,0.087s,PASSED
closeBrowser(),Chrome 101.0.4951.67,,,2022-05-23 15:07:58,2022-05-23 15:07:58,0.305s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Canine_Filter_Breed-Akita.xlsx"")",Chrome 101.0.4951.67,,,2022-05-23 15:07:58,2022-05-23 15:08:15,16.555s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Canine_PopUp_Continue_Btn"")",Chrome 101.0.4951.67,,,2022-05-23 15:08:15,2022-05-23 15:08:15,0.228s,PASSED
"out.println(""Closed the popup window"")",Chrome 101.0.4951.67,,,2022-05-23 15:08:15,2022-05-23 15:08:15,0.002s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 5)",Chrome 101.0.4951.67,,,2022-05-23 15:08:15,2022-05-23 15:08:15,0.187s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 101.0.4951.67,,,2022-05-23 15:08:15,2022-05-23 15:08:15,0.203s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 5)",Chrome 101.0.4951.67,,,2022-05-23 15:08:15,2022-05-23 15:08:17,1.615s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/BREED_Ddn"")",Chrome 101.0.4951.67,,,2022-05-23 15:08:17,2022-05-23 15:08:22,4.675s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/Akita_Chkbx"")",Chrome 101.0.4951.67,,,2022-05-23 15:08:22,2022-05-23 15:08:26,4.373s,PASSED
