Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICDC_NewStudy,Chrome 89.0.4389.114,,,2021-04-14 10:54:41,2021-04-14 11:03:24,8m - 43.138s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/Study/TC04_Canine_Filter_Study-UBC,Chrome 89.0.4389.114,"This test case automates the following work flow:
1. Clicking on the Cases Button in Integrated Canine Data Commons (ICDC) application.
2. Clicking the Study dropdown
3. Selecting the desired Study by selecting the checkbox
4. Comparing the results displayed in UI with the results queried from Neo4j database for the seleted dataset.
",Filter,2021-04-14 10:54:42,2021-04-14 11:03:24,8m - 42.751s,PASSED
"openBrowser("""")",Chrome 89.0.4389.114,"Opens the browser of choice: Chrome, Firefox or Edge",,2021-04-14 10:54:43,2021-04-14 10:54:47,4.383s,PASSED
maximizeWindow(),Chrome 89.0.4389.114,,,2021-04-14 10:54:47,2021-04-14 10:54:47,0.158s,PASSED
"""Driver opened by Katalon is used in Selenium from this step.""",Chrome 89.0.4389.114,,,2021-04-14 10:54:47,2021-04-14 10:54:47,0.001s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC04_Canine_Filter_Study-UBC.xlsx"")",Chrome 89.0.4389.114,"This step takes the Query from input excel and fetches data from Neo4j database. 
Saves the results from neo4j and application in the same name mentioned in the input excel. ",,2021-04-14 10:54:47,2021-04-14 10:55:22,34.506s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 5)",Chrome 89.0.4389.114,Clicks on the Cases button in the Navbar of ICDC's homepage.,,2021-04-14 10:55:22,2021-04-14 10:55:28,6.152s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 89.0.4389.114,,,2021-04-14 10:55:28,2021-04-14 10:55:28,0.195s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/FilterByCases_Facet""), 5)",Chrome 89.0.4389.114,,,2021-04-14 10:55:28,2021-04-14 10:55:34,6.101s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/FilterByCases_Facet"")",Chrome 89.0.4389.114,,,2021-04-14 10:55:34,2021-04-14 10:55:34,0.180s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 5)",Chrome 89.0.4389.114,Clicks on the Filter 'Study' from left pane,,2021-04-14 10:55:34,2021-04-14 10:55:41,6.107s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study"")",Chrome 89.0.4389.114,,,2021-04-14 10:55:41,2021-04-14 10:55:41,0.189s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-UBC_Chkbx"")",Chrome 89.0.4389.114,Selects the specific check box from 'Study' filter.,,2021-04-14 10:55:41,2021-04-14 10:55:41,0.252s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarCanine(""Object Repository/Canine/StatBar/Canine_StatBar-Studies"", ""Object Repository/Canine/StatBar/Canine_StatBar-Cases"", ""Object Repository/Canine/StatBar/Canine_StatBar-Samples"", ""Object Repository/Canine/StatBar/Canine_StatBar-Files"", ""Object Repository/Canine/StatBar/Canine_StatBar-Aliquots"")",Chrome 89.0.4389.114,,,2021-04-14 10:55:41,2021-04-14 10:55:56,15.379s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Cases_Tab""), 5)",Chrome 89.0.4389.114,,,2021-04-14 10:55:56,2021-04-14 10:56:02,6.152s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_Cases_Tab"")",Chrome 89.0.4389.114,,,2021-04-14 10:56:02,2021-04-14 10:56:03,0.602s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Cases, ""Object Repository/Canine/Canine_CasesTable"", ""Object Repository/Canine/Canine_TableHeader"", ""Object Repository/Canine/Canine_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Chrome 89.0.4389.114,,,2021-04-14 10:56:03,2021-04-14 10:57:09,1m - 6.047s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Samples_Tab""), 5)",Chrome 89.0.4389.114,,,2021-04-14 10:57:09,2021-04-14 10:57:15,6.127s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_Samples_Tab"")",Chrome 89.0.4389.114,,,2021-04-14 10:57:15,2021-04-14 10:57:16,0.382s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Samples, ""Object Repository/Canine/Canine_Samples_Table"", ""Object Repository/Canine/Canine_Samples_TableHdr"", ""Object Repository/Canine/Canine_SamplesTabNextBtn"", G_WebTabnameSamples, G_CypherTabnameSamples, G_QuerySamplesTab)",Chrome 89.0.4389.114,,,2021-04-14 10:57:16,2021-04-14 10:59:31,2m - 14.879s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Files_Tab""), 5)",Chrome 89.0.4389.114,,,2021-04-14 10:59:31,2021-04-14 10:59:37,6.166s,PASSED
