Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bento_TestSuite,Firefox 78.0,,,2020-12-30 17:40:14,2020-12-30 17:43:38,3m - 23.139s,PASSED
,,,,,,,
Test Cases/Bento_TestCases/MultipleFilters/TC03_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-TumorGrade,Firefox 78.0,,Filter,2020-12-30 17:40:15,2020-12-30 17:41:48,1m - 33.017s,PASSED
closeBrowser(),Firefox 78.0,,,2020-12-30 17:40:17,2020-12-30 17:40:17,0.799s,PASSED
"openBrowser("""")",Firefox 78.0,,,2020-12-30 17:40:17,2020-12-30 17:40:26,8.510s,PASSED
maximizeWindow(),Firefox 78.0,,,2020-12-30 17:40:26,2020-12-30 17:40:26,0.045s,PASSED
"ctdc.utilities.runtestcaseforKatalon.testSetup("""")",Firefox 78.0,,,2020-12-30 17:40:26,2020-12-30 17:40:26,0.066s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC03_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-TumorGrade.xlsx"")",Firefox 78.0,,,2020-12-30 17:40:26,2020-12-30 17:40:40,14.153s,PASSED
"click(findTestObject(""Bento/NavBar/Bento_Cases-Btn""))",Firefox 78.0,,,2020-12-30 17:40:40,2020-12-30 17:40:45,5.249s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/FilterByCases_Facet""))",Firefox 78.0,,,2020-12-30 17:40:45,2020-12-30 17:40:52,6.591s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/DIAGNOSIS_Ddn""))",Firefox 78.0,,,2020-12-30 17:40:52,2020-12-30 17:40:58,5.485s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/MedullaryCarcinoma_Chkbx""))",Firefox 78.0,,,2020-12-30 17:40:58,2020-12-30 17:41:03,5.619s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/Recurrence Score/RecurrScore_Ddn""))",Firefox 78.0,,,2020-12-30 17:41:03,2020-12-30 17:41:09,5.374s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/Recurrence Score/16_to_20_Chkbx"")",Firefox 78.0,,,2020-12-30 17:41:09,2020-12-30 17:41:09,0.223s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/TumorSize_Ddn"")",Firefox 78.0,,,2020-12-30 17:41:09,2020-12-30 17:41:09,0.422s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/2_to_3_Chkbx"")",Firefox 78.0,,,2020-12-30 17:41:09,2020-12-30 17:41:10,1.225s,PASSED
