Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bento_TestSuite,Firefox 78.0,,,2020-12-30 17:35:29,2020-12-30 17:38:50,3m - 20.778s,PASSED
,,,,,,,
Test Cases/Bento_TestCases/MultipleFilters/TC03_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-TumorGrade,Firefox 78.0,,Filter,2020-12-30 17:35:29,2020-12-30 17:37:02,1m - 33.108s,PASSED
closeBrowser(),Firefox 78.0,,,2020-12-30 17:35:31,2020-12-30 17:35:32,0.847s,PASSED
"openBrowser("""")",Firefox 78.0,,,2020-12-30 17:35:32,2020-12-30 17:35:40,8.276s,PASSED
maximizeWindow(),Firefox 78.0,,,2020-12-30 17:35:40,2020-12-30 17:35:40,0.038s,PASSED
"ctdc.utilities.runtestcaseforKatalon.testSetup("""")",Firefox 78.0,,,2020-12-30 17:35:40,2020-12-30 17:35:40,0.062s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC03_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-TumorGrade.xlsx"")",Firefox 78.0,,,2020-12-30 17:35:40,2020-12-30 17:35:53,13.298s,PASSED
"click(findTestObject(""Bento/NavBar/Bento_Cases-Btn""))",Firefox 78.0,,,2020-12-30 17:35:53,2020-12-30 17:35:59,5.305s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/FilterByCases_Facet""))",Firefox 78.0,,,2020-12-30 17:35:59,2020-12-30 17:36:05,6.673s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/DIAGNOSIS_Ddn""))",Firefox 78.0,,,2020-12-30 17:36:05,2020-12-30 17:36:11,5.376s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/MedullaryCarcinoma_Chkbx""))",Firefox 78.0,,,2020-12-30 17:36:11,2020-12-30 17:36:16,5.458s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/Recurrence Score/RecurrScore_Ddn""))",Firefox 78.0,,,2020-12-30 17:36:16,2020-12-30 17:36:22,5.468s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/Recurrence Score/16_to_20_Chkbx"")",Firefox 78.0,,,2020-12-30 17:36:22,2020-12-30 17:36:22,0.198s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/TumorSize_Ddn"")",Firefox 78.0,,,2020-12-30 17:36:22,2020-12-30 17:36:22,0.383s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/2_to_3_Chkbx"")",Firefox 78.0,,,2020-12-30 17:36:22,2020-12-30 17:36:24,1.319s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorGrade/TumorGrade_Ddn"")",Firefox 78.0,,,2020-12-30 17:36:24,2020-12-30 17:36:24,0.669s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorGrade/NotReported_Chkbx"")",Firefox 78.0,,,2020-12-30 17:36:24,2020-12-30 17:36:25,1.091s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarBento(""Object Repository/Bento/StatBar/Bento_StatBar-Programs"", ""Object Repository/Bento/StatBar/Bento_StatBar-Arms"", ""Object Repository/Bento/StatBar/Bento_StatBar-Cases"", ""Object Repository/Bento/StatBar/Bento_StatBar-Samples"", ""Object Repository/Bento/StatBar/Bento_StatBar-Assays"", ""Object Repository/Bento/StatBar/Bento_StatBar-Files"")",Firefox 78.0,,,2020-12-30 17:36:25,2020-12-30 17:36:28,2.363s,PASSED
"waitForElementPresent(findTestObject(""Bento/BentoResults_Cases_Tab""), 5)",Firefox 78.0,,,2020-12-30 17:36:28,2020-12-30 17:36:28,0.186s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/BentoResults_Cases_Tab"")",Firefox 78.0,,,2020-12-30 17:36:28,2020-12-30 17:36:28,0.478s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(G_StatBar_Cases, ""Object Repository/Bento/Bento_CasesTable"", ""Object Repository/Bento/Bento_CasesTableHeader"", ""Object Repository/Bento/Bento_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Firefox 78.0,,,2020-12-30 17:36:28,2020-12-30 17:37:02,34.048s,PASSED
,,,,,,,
Test Cases/Bento_TestCases/MultipleFilters/TC04_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-Chemo-TumorGrade,Firefox 78.0,,Filter,2020-12-30 17:37:02,2020-12-30 17:38:50,1m - 47.114s,PASSED
closeBrowser(),Firefox 78.0,,,2020-12-30 17:37:03,2020-12-30 17:37:05,1.753s,PASSED
"openBrowser("""")",Firefox 78.0,,,2020-12-30 17:37:05,2020-12-30 17:37:11,6.318s,PASSED
maximizeWindow(),Firefox 78.0,,,2020-12-30 17:37:11,2020-12-30 17:37:11,0.015s,PASSED
