Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICDC_UBC01_2TC,Chrome 91.0.4472.124,,,2021-07-08 21:17:51,2021-07-08 21:20:42,2m - 50.701s,ERROR
,,,,,,,
Test Cases/Canine_TestCases/StudyCombinations/Study-Combinations-UBC01/TC01_Canine_StudyUBC-Breed_Diagnosis_PrimDiseaseSite,Chrome 91.0.4472.124,"This test case automates the following work flow:
1. Clicking on the Cases Button in Integrated Canine Data Commons (ICDC) application.
2. Clicking the Study dropdown
3. Selecting the desired Study by selecting the checkbox
4. Comparing the results displayed in UI with the results queried from Neo4j database for the seleted dataset.
",Filter,2021-07-08 21:17:54,2021-07-08 21:19:13,1m - 19.109s,ERROR
Start listener action : getTestScriptName,Chrome 91.0.4472.124,,,2021-07-08 21:17:54,2021-07-08 21:17:54,0.086s,PASSED
closeBrowser(),Chrome 91.0.4472.124,"Opens the browser of choice: Chrome, Firefox or Edge",,2021-07-08 21:17:55,2021-07-08 21:17:56,0.536s,PASSED
"""Driver opened by Katalon is used in Selenium from this step.""",Chrome 91.0.4472.124,,,2021-07-08 21:17:56,2021-07-08 21:17:56,0.002s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Canine_StudyUBC-Breed_Diagnosis_PrimDiseaseSite.xlsx"")",Chrome 91.0.4472.124,"This step takes the Query from input excel and fetches data from Neo4j database. 
Saves the results from neo4j and application in the same name mentioned in the input excel. ",,2021-07-08 21:17:56,2021-07-08 21:18:21,25.566s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 20)",Chrome 91.0.4472.124,Clicks on the Cases button in the Navbar of ICDC's homepage.,,2021-07-08 21:18:21,2021-07-08 21:18:21,0.174s,PASSED
"verifyElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 5)",Chrome 91.0.4472.124,,,2021-07-08 21:18:21,2021-07-08 21:18:21,0.144s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 91.0.4472.124,,,2021-07-08 21:18:21,2021-07-08 21:18:22,0.273s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/FilterByCases_Facet""), 20)",Chrome 91.0.4472.124,,,2021-07-08 21:18:22,2021-07-08 21:18:23,1.313s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/FilterByCases_Facet""), 5)",Chrome 91.0.4472.124,,,2021-07-08 21:18:23,2021-07-08 21:18:23,0.117s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/FilterByCases_Facet"")",Chrome 91.0.4472.124,,,2021-07-08 21:18:23,2021-07-08 21:18:24,0.549s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 30)",Chrome 91.0.4472.124,Clicks on the Filter 'Study' from left pane,,2021-07-08 21:18:24,2021-07-08 21:18:24,0.258s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 5)",Chrome 91.0.4472.124,,,2021-07-08 21:18:24,2021-07-08 21:18:24,0.272s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study"")",Chrome 91.0.4472.124,,,2021-07-08 21:18:24,2021-07-08 21:18:25,0.385s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-UBC_Chkbx""), 30)",Chrome 91.0.4472.124,Selects the specific check box from 'Study' filter.,,2021-07-08 21:18:25,2021-07-08 21:18:25,0.369s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-UBC_Chkbx""), 5)",Chrome 91.0.4472.124,,,2021-07-08 21:18:25,2021-07-08 21:18:25,0.161s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-UBC_Chkbx"")",Chrome 91.0.4472.124,,,2021-07-08 21:18:25,2021-07-08 21:18:25,0.290s,PASSED
Thread.sleep(2000),Chrome 91.0.4472.124,,,2021-07-08 21:18:25,2021-07-08 21:18:27,2.001s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 30)",Chrome 91.0.4472.124,,,2021-07-08 21:18:27,2021-07-08 21:18:28,0.140s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 5)",Chrome 91.0.4472.124,,,2021-07-08 21:18:28,2021-07-08 21:18:28,0.167s,PASSED
